"""SD"",""Percentage"",""ProtConn"",""Jaar"""
"0,0.073874,""Beschermd"",""2000"""
"0.0166571202393051,0.048674,""Geconnecteerd en beschermd"",""2000"""
"0,0.926126,""Onbeschermd"",""2000"""
"0,0.073988,""Beschermd"",""2001"""
"0.0166955363395929,0.0487165,""Geconnecteerd en beschermd"",""2001"""
"0,0.926012,""Onbeschermd"",""2001"""
"0,0.121992,""Beschermd"",""2002"""
"0.0323574910749685,0.079708,""Geconnecteerd en beschermd"",""2002"""
"0,0.878008,""Onbeschermd"",""2002"""
"0,0.141492,""Beschermd"",""2003"""
"0.0382463730077768,0.09794125,""Geconnecteerd en beschermd"",""2003"""
"0,0.858508,""Onbeschermd"",""2003"""
"0,0.141623,""Beschermd"",""2004"""
"0.0383649473043645,0.0981885,""Geconnecteerd en beschermd"",""2004"""
"0,0.858377,""Onbeschermd"",""2004"""
"0,0.141946,""Beschermd"",""2005"""
"0.0384776591500401,0.0983305,""Geconnecteerd en beschermd"",""2005"""
"0,0.858054,""Onbeschermd"",""2005"""
"0,0.141935,""Beschermd"",""2006"""
"0.0384740791735163,0.09831625,""Geconnecteerd en beschermd"",""2006"""
"0,0.858065,""Onbeschermd"",""2006"""
"0,0.14195,""Beschermd"",""2007"""
"0.038477997028605,0.098336,""Geconnecteerd en beschermd"",""2007"""
"0,0.85805,""Onbeschermd"",""2007"""
"0,0.141942,""Beschermd"",""2008"""
"0.0384750837555944,0.098331,""Geconnecteerd en beschermd"",""2008"""
"0,0.858058,""Onbeschermd"",""2008"""
"0,0.14195,""Beschermd"",""2009"""
"0.038477688248083,0.09833575,""Geconnecteerd en beschermd"",""2009"""
"0,0.85805,""Onbeschermd"",""2009"""
"0,0.141948,""Beschermd"",""2010"""
"0.0384982669220317,0.098375,""Geconnecteerd en beschermd"",""2010"""
"0,0.858052,""Onbeschermd"",""2010"""
"0,0.141955,""Beschermd"",""2011"""
"0.0385006384276071,0.098379,""Geconnecteerd en beschermd"",""2011"""
"0,0.858045,""Onbeschermd"",""2011"""
"0,0.141998,""Beschermd"",""2012"""
"0.0385173128346202,0.0984,""Geconnecteerd en beschermd"",""2012"""
"0,0.858002,""Onbeschermd"",""2012"""
"0,0.14215,""Beschermd"",""2013"""
"0.0390159793022893,0.09975775,""Geconnecteerd en beschermd"",""2013"""
"0,0.85785,""Onbeschermd"",""2013"""
"0,0.142173,""Beschermd"",""2014"""
"0.0390258737207339,0.0997945,""Geconnecteerd en beschermd"",""2014"""
"0,0.857827,""Onbeschermd"",""2014"""
"0,0.142211,""Beschermd"",""2015"""
"0.0345896080347841,0.106872,""Geconnecteerd en beschermd"",""2015"""
"0,0.857789,""Onbeschermd"",""2015"""
"0,0.142201,""Beschermd"",""2016"""
"0.0345839165737967,0.10687325,""Geconnecteerd en beschermd"",""2016"""
"0,0.857799,""Onbeschermd"",""2016"""
"0,0.142421,""Beschermd"",""2017"""
"0.034554442517087,0.1072285,""Geconnecteerd en beschermd"",""2017"""
"0,0.857579,""Onbeschermd"",""2017"""
"0,0.143604,""Beschermd"",""2018"""
"0.0346646250280215,0.1086615,""Geconnecteerd en beschermd"",""2018"""
"0,0.856396,""Onbeschermd"",""2018"""
"0,0.153019,""Beschermd"",""2019"""
"0.0364066605673559,0.1166275,""Geconnecteerd en beschermd"",""2019"""
"0,0.846981,""Onbeschermd"",""2019"""
"0,0.153693,""Beschermd"",""2020"""
"0.0365570318577699,0.11717825,""Geconnecteerd en beschermd"",""2020"""
"0,0.846307,""Onbeschermd"",""2020"""
"0,0.15543,""Beschermd"",""2021"""
"0.0368745808959234,0.11864125,""Geconnecteerd en beschermd"",""2021"""
"0,0.84457,""Onbeschermd"",""2021"""
"0,0.15913,""Beschermd"",""2022"""
"0.0373175107545595,0.12207725,""Geconnecteerd en beschermd"",""2022"""
"0,0.84087,""Onbeschermd"",""2022"""
"0,0.163847,""Beschermd"",""2023"""
"0.0380669669956775,0.12615375,""Geconnecteerd en beschermd"",""2023"""
"0,0.836153,""Onbeschermd"",""2023"""
"0,0.163933,""Beschermd"",""2024"""
"0.0381008573952083,0.12619975,""Geconnecteerd en beschermd"",""2024"""
"0,0.836067,""Onbeschermd"",""2024"""
